file_id,section_text,section_type,parent_section_type,level,start,end,line_id,confidence,alias_source
18.txt,Tình trạng ngay trước khi nhập viện,IMMEDIATE_PRE_ADMISSION_STATUS,CURRENT_HISTORY,2,359,394,10,1.0,tình trạng ngay trước khi nhập viện
18.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,441,463,11,1.0,đánh giá tại bệnh viện
18.txt,Kết quả chụp ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,468,484,12,1.0,kết quả chụp ảnh
18.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,685,711,13,1.0,các thủ thuật đã thực hiện
18.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,774,802,14,1.0,các phát hiện chẩn đoán khác
19.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
19.txt,Các bệnh lý nội khoa mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,59,2,1.0,các bệnh lý nội khoa mạn tính
19.txt,Tiền sử phẫu thuật / thủ thuật,PAST_HISTORY,,1,289,319,8,1.0,tiền sử phẫu thuật / thủ thuật
19.txt,Thuốc trước khi nhập viện,MEDICATION_HISTORY,PAST_HISTORY,2,355,380,9,1.0,thuốc trước khi nhập viện
19.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,421,442,10,1.0,tiền sử bệnh hiện tại
19.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,447,462,11,1.0,lý do nhập viện
19.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,481,512,12,1.0,thời điểm khởi phát triệu chứng
19.txt,Diễn biến bệnh,SYMPTOM_DETAIL,CURRENT_HISTORY,2,531,545,13,1.0,diễn biến bệnh
19.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,686,706,17,1.0,triệu chứng hiện tại
19.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,725,745,18,1.0,đặc điểm triệu chứng
19.txt,Sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,1047,1074,24,1.0,sự kiện trước khi nhập viện
