canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
mau_lang,Máu lắng,hematology,blood,ESR|máu lắng|tốc độ máu lắng,plan_section_9
mch,MCH,hematology,blood,MCH,plan_section_9
mchc,MCHC,hematology,blood,MCHC,plan_section_9
mcv,MCV,hematology,blood,MCV,plan_section_9
mg,Mg,chemistry,blood,Mg,lab_med_ministry_pdf#5:118
microalbumin_nieu,Microalbumin niệu,chemistry,blood,Microalbumin niệu,lab_list_pdf#6:97
mpo,MPO,chemistry,blood,MPO,lab_med_ministry_pdf#5:116
mycobacterium_tuberculosis_real_time_pcr,Mycobacterium tuberculosis Real-time PCR,microbiology,blood,Mycobacterium tuberculosis Real-time PCR,lab_list_pdf#9:25
myoglobin,Myoglobin,chemistry,blood,Myoglobin,lab_med_ministry_pdf#5:117
n_mid_osteocalcin,N-MID Osteocalcin,chemistry,blood,N-MID Osteocalcin|n-mid osteocanxin,lab_med_ministry_pdf#5:119
natri,Natri,chemistry,blood,Na|natri,plan_section_9
neisseria_gonorrhoeae_nhuom_soi,Neisseria gonorrhoeae nhuộm soi,microbiology,unknown,Neisseria gonorrhoeae nhuộm soi,lab_list_pdf#8:13
neisseria_meningitides_nhuom_soi,Neisseria meningitides nhuộm soi,microbiology,unknown,Neisseria meningitides nhuộm soi,lab_list_pdf#8:15
neutrophil,Neutrophil %,hematology,blood,NEUT%,lab_seed_terms.csv
nh_mau_3,NH máu 3,chemistry,blood,NH máu 3,lab_list_pdf#2:21
nse,NSE,tumor_marker,blood,NSE|NSE (Neuron Specific Enolase)|Neuron Specific Enolase,both#5:120
nt_probnp,NT-proBNP,chemistry,blood,NT-proBNP|nt probnp,lab_med_ministry_pdf#5:121
numa,NUMA,chemistry,blood,NUMA,lab_list_pdf#5:86
nuoc_tieu,nước tiểu,urinalysis,urine,bằng máy tự động|nước tiểu (bằng máy tự động),lab_med_ministry_pdf#7:203
on_bao_uong_ruot_nhuom_soi,Đơn bào đường ruột nhuộm soi,microbiology,blood,Đơn bào đường ruột nhuộm soi,lab_list_pdf#9:31
on_bao_uong_ruot_soi_tuoi,Đơn bào đường ruột soi tươi,chemistry,blood,Đơn bào đường ruột soi tươi,lab_list_pdf#9:30
p_amylase,P-Amylase,chemistry,blood,P-Amylase,lab_med_ministry_pdf#5:122
pandy,Pandy,chemistry,csf,Pandy,lab_med_ministry_pdf#7:206
papp_a,PAPP-A,chemistry,blood,PAPP-A,lab_med_ministry_pdf#5:123
pct,PCT,immunology,blood,PCT,lab_list_pdf#4:59
pepsinogen_i,Pepsinogen I,chemistry,blood,Pepsinogen I,lab_med_ministry_pdf#5:124
pepsinogen_ii,Pepsinogen II,chemistry,blood,Pepsinogen II,lab_med_ministry_pdf#5:125
ph,pH,blood_gas,blood,pH,plan_section_9
phan_ung_pandy,Phản ứng pandy,chemistry,blood,Phản ứng pandy,lab_list_pdf#6:100
phan_ung_rivalta,Phản ứng rivalta,chemistry,blood,Phản ứng rivalta,lab_list_pdf#6:99
phenobarbital,Phenobarbital,chemistry,blood,Phenobarbital,lab_med_ministry_pdf#5:126
phenytoin,Phenytoin,chemistry,blood,Phenytoin,lab_med_ministry_pdf#5:127
phospho,Phospho,urinalysis,blood,Phospho|photpho,both#5:128
phospho_huu_co,phospho hữu cơ,urinalysis,urine,phospho hữu cơ|photpho hữu cơ,lab_med_ministry_pdf#7:195
phthirus_pubis_soi_tuoi,Phthirus pubis soi tươi,chemistry,blood,Phthirus pubis soi tươi|Rận mu,lab_list_pdf#9:40
plgf,PLGF,chemistry,blood,PLGF|PLGF (Placental Growth Factor- yếu tố tân tạo mạch máu),lab_med_ministry_pdf#6:170
pmn,Bạch cầu đa nhân,hematology,blood,PMN|bạch cầu đa nhân,plan_section_9
porphyrin,Porphyrin,urinalysis,urine,Porphyrin,lab_med_ministry_pdf#7:196
pre_albumin,Pre-albumin,chemistry,blood,Pre-albumin,lab_med_ministry_pdf#5:129
pro_bnp,Pro BNP,chemistry,blood,Pro BNP,lab_list_pdf#4:60
pro_calcitonin,Pro-calcitonin,chemistry,blood,Pro-calcitonin|pro-canxitonin,lab_med_ministry_pdf#5:130
pro_grp,Pro-GRP,tumor_marker,blood,Pro-GRP|Pro-GRP ( Pro- Gastrin-releasing peptide),lab_med_ministry_pdf#5:137
procainnamid,Procainnamid,chemistry,blood,Procainnamid,lab_med_ministry_pdf#5:135
progesterol,Progesterol,chemistry,blood,Progesterol,lab_list_pdf#4:70
progesteron,Progesteron,endocrine,blood,Progesteron,lab_med_ministry_pdf#5:134
progrp,ProGRP,tumor_marker,blood,ProGRP,lab_list_pdf#4:61
prolactin,Prolactin,endocrine,blood,Prolactin,lab_med_ministry_pdf#5:131
protein,protein,urinalysis,blood,protein,lab_med_ministry_pdf#5:132
protein_bence_jones,Protein Bence -jones,urinalysis,urine,Protein Bence -jones,lab_med_ministry_pdf#7:199
protein_dich_choc_do,Protein dịch chọc dò,chemistry,blood,Protein dịch chọc dò,lab_list_pdf#7:110
protein_s100,protein S100,chemistry,blood,protein S100,lab_med_ministry_pdf#5:136
protein_toan_phan,Protein toàn phần,chemistry,blood,Proteid máu|Protein toàn phần,both#5:133
psa_toan_phan,PSA toàn phần,tumor_marker,blood,PSA toàn phần|PSA toàn phần (Total prostate-specific antigen),both#5:139
