source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
lab_med_ministry_pdf,5,127,Định lượng Phenytoin,Phenytoin,phenytoin,Phenytoin,chemistry,blood,Phenytoin,,
both,5,128,Định lượng Phospho,Phospho,phospho,Phospho,urinalysis,blood,Phospho,Phospho,lab_list_pdf#3:33; lab_med_ministry_pdf#5:128
lab_list_pdf,9,40,Phthirus pubis (Rận mu) soi tươi,Phthirus pubis soi tươi,phthirus_pubis_soi_tuoi,Phthirus pubis soi tươi,chemistry,blood,,Phthirus pubis (Rận mu) soi tươi,
lab_med_ministry_pdf,6,170,Định lượng PLGF (Placental Growth Factor- yếu tố tân tạo mạch máu),PLGF (Placental Growth Factor- yếu tố tân tạo mạch máu),plgf,PLGF,chemistry,blood,PLGF (Placental Growth Factor- yếu tố tân tạo mạch máu),,
manual_curation,0,,Bạch cầu đa nhân,Bạch cầu đa nhân,pmn,Bạch cầu đa nhân,hematology,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,5,129,Định lượng Pre-albumin,Pre-albumin,pre_albumin,Pre-albumin,chemistry,blood,Pre-albumin,,
lab_list_pdf,4,60,Pro BNP,Pro BNP,pro_bnp,Pro BNP,chemistry,blood,,Pro BNP,
lab_med_ministry_pdf,5,130,Định tính Pro-calcitonin,Pro-calcitonin,pro_calcitonin,Pro-calcitonin,chemistry,blood,Pro-calcitonin,,
lab_med_ministry_pdf,5,137,Định lượng Pro-GRP ( Pro- Gastrin-releasing peptide),Pro-GRP ( Pro- Gastrin-releasing peptide),pro_grp,Pro-GRP,tumor_marker,blood,Pro-GRP ( Pro- Gastrin-releasing peptide),,
lab_med_ministry_pdf,5,135,Định lượng Procainnamid,Procainnamid,procainnamid,Procainnamid,chemistry,blood,Procainnamid,,
lab_list_pdf,4,70,Progesterol,Progesterol,progesterol,Progesterol,chemistry,blood,,Progesterol,
lab_med_ministry_pdf,5,134,Định lượng Progesteron,Progesteron,progesteron,Progesteron,endocrine,blood,Progesteron,,
lab_list_pdf,4,61,ProGRP,ProGRP,progrp,ProGRP,tumor_marker,blood,,ProGRP,
lab_med_ministry_pdf,5,131,Định lượng Prolactin,Prolactin,prolactin,Prolactin,endocrine,blood,Prolactin,,
lab_med_ministry_pdf,5,132,Điện di protein,protein,protein,protein,urinalysis,blood,protein,,lab_med_ministry_pdf#5:132; lab_med_ministry_pdf#7:207
lab_list_pdf,7,110,Protein dịch chọc dò,Protein dịch chọc dò,protein_dich_choc_do,Protein dịch chọc dò,chemistry,blood,,Protein dịch chọc dò,
lab_med_ministry_pdf,5,136,Định lượng protein S100,protein S100,protein_s100,protein S100,chemistry,blood,protein S100,,
both,5,133,Định lượng Protein toàn phần,Protein toàn phần,protein_toan_phan,Protein toàn phần,chemistry,blood,Protein toàn phần,Proteid máu,lab_list_pdf#1:5; lab_med_ministry_pdf#5:133
